date,close
7-Jan-17,0.13
8-Jan-17,0.13
9-Jan-17,0.12
10-Jan-17,0.13
11-Jan-17,0.12
12-Jan-17,0.12
13-Jan-17,0.12
14-Jan-17,0.12
15-Jan-17,0.12
16-Jan-17,0.12
17-Jan-17,0.12
18-Jan-17,0.12
19-Jan-17,0.12
20-Jan-17,0.12
21-Jan-17,0.12
22-Jan-17,0.11
23-Jan-17,0.13
24-Jan-17,0.12
25-Jan-17,0.12
26-Jan-17,0.13
27-Jan-17,0.13
28-Jan-17,0.13
29-Jan-17,0.14
30-Jan-17,0.15
31-Jan-17,0.15
1-Feb-17,0.15
2-Feb-17,0.15
3-Feb-17,0.13
4-Feb-17,0.14
5-Feb-17,0.13
6-Feb-17,0.13
7-Feb-17,0.13
8-Feb-17,0.13
9-Feb-17,0.13
10-Feb-17,0.13
11-Feb-17,0.13
12-Feb-17,0.12
13-Feb-17,0.12
14-Feb-17,0.12
15-Feb-17,0.11
16-Feb-17,0.13
17-Feb-17,0.12
18-Feb-17,0.12
19-Feb-17,0.12
20-Feb-17,0.12
21-Feb-17,0.12
22-Feb-17,0.12
23-Feb-17,0.12
24-Feb-17,0.12
25-Feb-17,0.11
26-Feb-17,0.12
27-Feb-17,0.12
28-Feb-17,0.12
1-Mar-17,0.14
2-Mar-17,0.12
3-Mar-17,0.12
4-Mar-17,0.12
5-Mar-17,0.12
6-Mar-17,0.12
7-Mar-17,0.12
8-Mar-17,0.12
9-Mar-17,0.13
10-Mar-17,0.13
11-Mar-17,0.14
12-Mar-17,0.14
13-Mar-17,0.14
14-Mar-17,0.13
15-Mar-17,0.13
16-Mar-17,0.13
17-Mar-17,0.14
18-Mar-17,0.16
19-Mar-17,0.16
20-Mar-17,0.15
21-Mar-17,0.16
22-Mar-17,0.17
23-Mar-17,0.17
24-Mar-17,0.17
25-Mar-17,0.17
26-Mar-17,0.16
27-Mar-17,0.19
28-Mar-17,0.22
29-Mar-17,0.21
30-Mar-17,0.21
31-Mar-17,0.2
1-Apr-17,0.21
2-Apr-17,0.21
3-Apr-17,0.2
4-Apr-17,0.19
5-Apr-17,0.18
6-Apr-17,0.19
7-Apr-17,0.19
8-Apr-17,0.19
9-Apr-17,0.19
10-Apr-17,0.21
11-Apr-17,0.2
12-Apr-17,0.2
13-Apr-17,0.19
14-Apr-17,0.19
15-Apr-17,0.19
16-Apr-17,0.19
17-Apr-17,0.19
18-Apr-17,0.18
19-Apr-17,0.19
20-Apr-17,0.18
21-Apr-17,0.18
22-Apr-17,0.18
23-Apr-17,0.18
24-Apr-17,0.17
25-Apr-17,0.18
26-Apr-17,0.18
27-Apr-17,0.2
28-Apr-17,0.23
29-Apr-17,0.27
30-Apr-17,0.36
1-May-17,0.32
2-May-17,0.31
3-May-17,0.34
4-May-17,0.5
5-May-17,0.58
6-May-17,0.59
7-May-17,0.54
8-May-17,0.5
9-May-17,0.45
10-May-17,0.5
11-May-17,0.48
12-May-17,0.49
13-May-17,0.48
14-May-17,0.48
15-May-17,0.47
16-May-17,0.46
17-May-17,0.53
18-May-17,0.54
19-May-17,0.63
20-May-17,0.67
21-May-17,0.66
22-May-17,0.72
23-May-17,0.88
24-May-17,1.76
25-May-17,1.11
26-May-17,0.83
27-May-17,0.98
28-May-17,0.93
29-May-17,0.97
30-May-17,1.02
31-May-17,1.03
1-Jun-17,1.24
2-Jun-17,1.35
3-Jun-17,1.26
4-Jun-17,1.26
5-Jun-17,1.28
6-Jun-17,1.34
7-Jun-17,1.28
8-Jun-17,1.36
9-Jun-17,1.55
10-Jun-17,1.68
11-Jun-17,1.67
12-Jun-17,1.51
13-Jun-17,1.81
14-Jun-17,1.74
15-Jun-17,1.78
16-Jun-17,2.77
17-Jun-17,3.76
18-Jun-17,5.26
19-Jun-17,11.72
20-Jun-17,8
21-Jun-17,10.15
22-Jun-17,6.94
23-Jun-17,6.84
24-Jun-17,6.3
25-Jun-17,5.95
26-Jun-17,5.53
27-Jun-17,6.83
28-Jun-17,8.38
29-Jun-17,9.77
30-Jun-17,8.73
1-Jul-17,7.95
2-Jul-17,8.1
3-Jul-17,8.22
4-Jul-17,7.78
5-Jul-17,8.03
6-Jul-17,7.84
7-Jul-17,6.77
8-Jul-17,7.45
9-Jul-17,6.9
10-Jul-17,6.03
11-Jul-17,5.4
12-Jul-17,6.63
13-Jul-17,6.29
14-Jul-17,5.54
15-Jul-17,5.03
16-Jul-17,5.04
17-Jul-17,5.77
18-Jul-17,6.02
19-Jul-17,5.88
20-Jul-17,7.21
21-Jul-17,7.42
22-Jul-17,8.62
23-Jul-17,8.57
24-Jul-17,8.46
25-Jul-17,7.35
26-Jul-17,7.17
27-Jul-17,7.72
28-Jul-17,7.09
29-Jul-17,7.26
30-Jul-17,7.15
31-Jul-17,7.33
1-Aug-17,7.86
2-Aug-17,8.11
3-Aug-17,10.67
